cabin,CabinReduced,sex,cabin_map,CabinReduced_map,sex_map
,,female,6,5,0
,,female,6,5,0
,,female,6,5,0
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
E36,E,female,64,2,0
,,female,6,5,0
C68,C,male,157,1,1
E24,E,male,30,2,1
,,male,6,5,1
,,female,6,5,0
C22 C26,C,female,1,1,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,female,6,5,0
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
D38,D,male,176,3,1
,,female,6,5,0
,,female,6,5,0
,,male,6,5,1
B50,B,male,149,0,1
A24,A,male,134,4,1
,,male,6,5,1
,,male,6,5,1
C111,C,male,62,1,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
F,F,male,177,7,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
C6,C,male,12,1,1
C87,C,male,150,1,1
E8,E,female,35,2,0
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
B45,B,female,146,0,0
,,male,6,5,1
,,male,6,5,1
C93,C,male,94,1,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,female,6,5,0
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
D28,D,female,106,3,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
D36,D,female,119,3,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,female,6,5,0
C125,C,female,79,1,0
C6,C,male,12,1,1
B35,B,female,8,0,0
T,T,male,19,6,1
,,female,6,5,0
,,female,6,5,0
B73,B,female,129,0,0
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
B57 B59 B63 B66,B,female,138,0,0
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
A26,A,male,141,4,1
,,male,6,5,1
,,male,6,5,1
A18,A,male,55,4,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,female,6,5,0
,,female,6,5,0
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
B96 B98,B,male,32,0,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
G6,G,female,185,8,0
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
C78,C,male,116,1,1
C101,C,female,5,1,0
D9,D,female,108,3,0
,,male,6,5,1
,,male,6,5,1
D33,D,male,83,3,1
C128,C,male,167,1,1
,,male,6,5,1
,,male,6,5,1
E50,E,female,82,2,0
,,female,6,5,0
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
B26,B,female,46,0,0
B69,B,male,88,0,1
,,male,6,5,1
E121,E,female,182,2,0
,,male,6,5,1
C123,C,female,70,1,0
,,male,6,5,1
,,male,6,5,1
B94,B,male,85,0,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,female,6,5,0
A34,A,female,51,4,0
,,male,6,5,1
D,D,male,169,3,1
E50,E,male,82,2,1
,,male,6,5,1
C39,C,male,91,1,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
D43,D,male,125,3,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
E31,E,male,34,2,1
B5,B,female,0,0,0
,,male,6,5,1
D17,D,female,104,3,0
,,male,6,5,1
F33,F,female,172,7,0
,,female,6,5,0
,,female,6,5,0
,,female,6,5,0
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
E44,E,male,140,2,1
D7,D,female,3,3,0
,,male,6,5,1
A21,A,male,25,4,1
,,male,6,5,1
,,female,6,5,0
D34,D,male,65,3,1
,,female,6,5,0
A29,A,female,59,4,0
,,male,6,5,1
F33,F,female,172,7,0
,,female,6,5,0
D35,D,male,13,3,1
A11,A,female,136,4,0
B51 B53 B55,B,female,31,0,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
D46,D,male,161,3,1
E60,E,male,98,2,1
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,female,6,5,0
G6,G,female,185,8,0
C30,C,male,117,1,1
,,female,6,5,0
D26,D,male,163,3,1
,,male,6,5,1
,,male,6,5,1
E68,E,female,154,2,0
,,male,6,5,1
C93,C,female,94,1,0
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
B35,B,female,8,0,0
,,male,6,5,1
,,male,6,5,1
A9,A,male,38,4,1
B71,B,female,49,0,0
,,male,6,5,1
F33,F,female,172,7,0
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
D37,D,female,162,3,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
C101,C,female,5,1,0
C78,C,female,116,1,0
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
F2,F,male,175,7,1
C55 C57,C,male,152,1,1
,,male,6,5,1
C89,C,male,39,1,1
,,male,6,5,1
C124,C,male,103,1,1
G6,G,female,185,8,0
,,female,6,5,0
,,male,6,5,1
C23 C25 C27,C,female,63,1,0
C126,C,female,156,1,0
E49,E,female,42,2,0
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
,,female,6,5,0
,,male,6,5,1
,,male,6,5,1
,,male,6,5,1
F E46,F,male,180,7,1
